name,T,ra,dec,Dh,Dhe,rh,rhe,MV,MVe,RV_h,RVe,ref
NGC4147,c,182.5262,18.5426,19.3,-,0.48,-,-6.17,-,183.2,0.7,Harris2010
NGC4372,c,186.4392,-72.659,5.8,-,3.91,-,-7.79,-,72.3,1.2,Harris2010
Rup106,c,189.6675,-51.1503,21.2,-,1.05,-,-6.35,-,-44.0,3.0,Harris2010
NGC4590,c,189.8666,-26.7441,10.3,-,1.51,-,-7.37,-,-94.7,0.2,Harris2010
NGC4833,c,194.8913,-70.8765,6.6,-,2.41,-,-8.17,-,200.2,1.2,Harris2010
NGC5024,c,198.2302,18.1682,17.9,-,1.31,-,-8.71,-,-62.9,0.3,Harris2010
NGC5053,c,199.1129,17.7002,17.4,-,2.61,-,-6.76,-,44.0,0.4,Harris2010
NGC5139,c,201.6968,-47.4796,5.2,-,5.0,-,-10.26,-,232.1,0.1,Harris2010
NGC5272,c,205.5484,28.3773,10.2,-,2.31,-,-8.88,-,-147.6,0.2,Harris2010
NGC5286,c,206.6117,-51.3743,11.7,-,0.73,-,-8.74,-,57.4,1.5,Harris2010
AM4,c,209.0904,-27.1675,32.2,-,0.43,-,-1.81,-,-,-,Harris2010
NGC5466,c,211.3637,28.5344,16.0,-,2.3,-,-6.98,-,110.7,0.2,Harris2010
NGC5634,c,217.4051,-5.9764,25.2,-,0.86,-,-7.69,-,-45.1,6.6,Harris2010
NGC5694,c,219.9012,-26.5389,35.0,-,0.4,-,-7.83,-,-140.3,0.8,Harris2010
IC4499,c,225.0769,-82.2137,18.8,-,1.71,-,-7.32,-,31.5,0.2,Harris2010
NGC5824,c,225.9943,-33.0682,32.1,-,0.45,-,-8.85,-,-27.5,1.5,Harris2010
Pal5,c,229.0219,-0.1116,23.2,-,2.73,-,-5.17,-,-58.7,0.2,Harris2010
NGC5897,c,229.3521,-21.0103,12.5,-,2.06,-,-7.23,-,101.5,1.0,Harris2010
NGC5904,c,229.6384,2.081,7.5,-,1.77,-,-8.81,-,53.2,0.4,Harris2010
NGC5927,c,232.0029,-50.673,7.7,-,1.1,-,-7.81,-,-107.5,0.9,Harris2010
NGC5946,c,233.8688,-50.6597,10.6,-,0.89,-,-7.18,-,128.4,1.8,Harris2010
BH176,c,234.781,-50.0527,18.9,-,0.9,-,-4.06,-,-,-,Harris2010
NGC5986,c,236.5125,-37.7864,10.4,-,0.98,-,-8.44,-,88.9,3.7,Harris2010
Lynga7,c,242.7652,-55.3178,8.0,-,1.2,-,-6.6,-,8.0,5.0,Harris2010
Pal14,c,242.7525,14.9578,76.5,-,1.22,-,-4.8,-,72.3,0.2,Harris2010
NGC6093,c,244.26,-22.9761,10.0,-,0.61,-,-8.23,-,8.1,1.5,Harris2010
NGC6121,c,245.8968,-26.5258,2.2,-,4.33,-,-7.19,-,70.7,0.2,Harris2010
NGC6101,c,246.4505,-72.2022,15.4,-,1.05,-,-6.94,-,361.4,1.7,Harris2010
NGC6144,c,246.8077,-26.0235,8.9,-,1.63,-,-6.85,-,193.8,0.6,Harris2010
NGC6139,c,246.9182,-38.8488,10.1,-,0.85,-,-8.36,-,6.7,6.0,Harris2010
Terzan3,c,247.167,-35.3535,8.2,-,1.25,-,-4.82,-,-136.3,0.7,Harris2010
NGC6171,c,248.1328,-13.0538,6.4,-,1.73,-,-7.12,-,-34.1,0.3,Harris2010
1636-283,c,249.856,-28.3987,8.3,-,0.5,-,-4.02,-,-,-,Harris2010
NGC6205,c,250.4218,36.4599,7.1,-,1.69,-,-8.55,-,-244.2,0.2,Harris2010
NGC6229,c,251.745,47.5278,30.5,-,0.36,-,-8.06,-,-154.2,7.6,Harris2010
NGC6218,c,251.8091,-1.9485,4.8,-,1.77,-,-7.31,-,-41.4,0.2,Harris2010
FSR1735,c,253.0442,-47.0581,9.8,-,0.34,-,-6.45,-,-,-,Harris2010
NGC6235,c,253.3555,-22.1774,11.5,-,1.0,-,-6.29,-,87.3,3.4,Harris2010
NGC6254,c,254.2877,-4.1003,4.4,-,1.95,-,-7.48,-,75.2,0.7,Harris2010
NGC6256,c,254.8859,-37.1214,10.3,-,0.86,-,-7.15,-,-101.4,1.9,Harris2010
Pal15,c,254.9625,-0.5389,45.1,-,1.1,-,-5.51,-,68.9,1.1,Harris2010
NGC6266,c,255.3033,-30.1137,6.8,-,0.92,-,-9.18,-,-70.1,1.4,Harris2010
NGC6273,c,255.6575,-26.268,8.8,-,1.32,-,-9.13,-,135.0,4.1,Harris2010
NGC6284,c,256.1188,-24.7649,15.3,-,0.66,-,-7.96,-,27.5,1.7,Harris2010
NGC6287,c,256.288,-22.7084,9.4,-,0.74,-,-7.36,-,-288.7,3.5,Harris2010
NGC6293,c,257.5425,-26.5821,9.5,-,0.89,-,-7.78,-,-146.2,1.7,Harris2010
NGC6304,c,258.6344,-29.462,5.9,-,1.42,-,-7.3,-,-107.3,3.6,Harris2010
NGC6316,c,259.1554,-28.1401,10.4,-,0.65,-,-8.34,-,71.4,8.9,Harris2010
NGC6341,c,259.2808,43.1359,8.3,-,1.02,-,-8.21,-,-120.0,0.1,Harris2010
NGC6325,c,259.4967,-23.766,7.8,-,0.63,-,-6.96,-,29.8,1.8,Harris2010
NGC6333,c,259.7969,-18.5159,7.9,-,0.96,-,-7.95,-,229.1,7.0,Harris2010
NGC6342,c,260.292,-19.5874,8.5,-,0.73,-,-6.42,-,115.7,1.4,Harris2010
NGC6356,c,260.8955,-17.813,15.1,-,0.81,-,-8.51,-,27.0,4.3,Harris2010
NGC6355,c,260.9941,-26.3534,9.2,-,0.88,-,-8.07,-,-176.9,7.1,Harris2010
NGC6352,c,261.3713,-48.4222,5.6,-,2.05,-,-6.47,-,-137.0,1.1,Harris2010
